[INFO]: No checkpoint found, start to train a new model...
[STATE]: Oberve, [FRAMES]: 152, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 153, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 154, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 155, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 156, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 157, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 158, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 159, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 160, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 161, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 162, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 163, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 164, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 165, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 166, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 167, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 168, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 169, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 170, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 171, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 172, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 173, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 174, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 175, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 176, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 177, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 178, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 179, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 180, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 181, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 182, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 183, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 184, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 185, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 186, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 187, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 188, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 189, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 190, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 191, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 192, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 193, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 194, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 195, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 196, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 197, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 198, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 199, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 200, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 201, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 202, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 203, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 204, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 205, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 206, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 207, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 208, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 209, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 210, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 211, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 212, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 213, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 214, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 215, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 216, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 217, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 218, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 219, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 220, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 221, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 222, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 223, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 224, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 225, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 226, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 227, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 228, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 229, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 230, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 231, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 232, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 233, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 234, [GAMES]: 0, [WINS]: 0...
